Target,cv_rmse,test_rmse,test_r2,overfit_passed,overfit_ratio,clf_accuracy,clf_logloss,n_train,n_test,n_features,top_features
US_NFP,313.5410558284543,346.1412573314844,-8.27338090989209,True,1.1039742671554822,0.16666666666666666,3.488453038750207,79,36,46,"[{'feature': 'FED_RATE_mean', 'importance': 0.6656157970428467}, {'feature': 'CLAIMS_lag1', 'importance': 0.1402861475944519}, {'feature': 'SP500_first', 'importance': 0.042769964784383774}, {'feature': 'CLAIMS_lag2', 'importance': 0.02505435422062874}, {'feature': 'OIL_WTI_first', 'importance': 0.022514766082167625}]"
US_UNRATE,1.2275667793279048,0.4065458790794947,-0.8530793607059848,True,0.33118025503179654,0.4,1.142897291562003,216,35,22,"[{'feature': 'CLAIMS_lag1', 'importance': 0.5059601664543152}, {'feature': 'NFP_lag1', 'importance': 0.12654490768909454}, {'feature': 'FED_RATE_last', 'importance': 0.07509706169366837}, {'feature': 'US_Slope_max', 'importance': 0.055793873965740204}, {'feature': 'NFP_lag2', 'importance': 0.05183982849121094}]"
US_AHE_MOM,0.29009450153306576,0.16817334875253284,-0.8307625329318189,True,0.5797191873882934,0.5,1.0404012420662052,199,36,20,"[{'feature': 'OIL_WTI_mean', 'importance': 0.5459544658660889}, {'feature': 'UNRATE_lag1', 'importance': 0.10116574168205261}, {'feature': 'CPI_lag2', 'importance': 0.08703175187110901}, {'feature': 'OIL_WTI_std', 'importance': 0.04796963185071945}, {'feature': 'UNRATE_lag2', 'importance': 0.033826135098934174}]"
US_UMCSENT,10.106450736328314,19.031348450761257,-5.053049840249171,False,1.8830892216357906,0.25,1.5085393360274282,79,36,26,"[{'feature': 'GAS_PRICE_mean', 'importance': 0.5291169881820679}, {'feature': 'UNRATE_lag1', 'importance': 0.1905304342508316}, {'feature': 'SP500_last', 'importance': 0.10483749955892563}, {'feature': 'OIL_WTI_mean', 'importance': 0.03410221263766289}, {'feature': 'OIL_WTI_max', 'importance': 0.030463170260190964}]"
US_MICH_INF,0.39888263112028144,1.2588312293920327,-0.6128814901706423,False,3.1558938165368446,0.4444444444444444,1.169218683846651,274,36,26,"[{'feature': 'GAS_PRICE_first', 'importance': 0.28370386362075806}, {'feature': 'GAS_PRICE_max', 'importance': 0.20603114366531372}, {'feature': 'FED_RATE_min', 'importance': 0.09869440644979477}, {'feature': 'OIL_WTI_max', 'importance': 0.08204460889101028}, {'feature': 'CPI_lag1', 'importance': 0.07502087950706482}]"
BR_IPCA_YOY,0.4133043629027151,0.3277195617863142,-0.44709925348651125,True,0.792925483305777,0.3888888888888889,1.1611389376579233,216,36,22,"[{'feature': 'BR_IPCA_lag1', 'importance': 0.19441010057926178}, {'feature': 'USDBRL_max', 'importance': 0.09260524064302444}, {'feature': 'BR_Level_change', 'importance': 0.06925475597381592}, {'feature': 'BR_IPCA_lag3', 'importance': 0.05390512943267822}, {'feature': 'BR_SELIC_lag2', 'importance': 0.05358359217643738}]"
